Feature,Importance
Patient_DenialRate,0.43778718
Payer_DenialRate,0.14855923
Provider_DenialRate,0.086754404
PayerCategory,0.060167823
Gender,0.05185109
InsuranceType,0.030026188
Payer_ReimbursementRate,0.029113423
Payer_AvgReimbursementRate,0.017786456
ProcessingDelay,0.016112754
ProcessedMonth,0.015155378
SubmissionDelay,0.014113375
ProcessedWeekday,0.01366198
InflationRate,0.013591635
Age,0.012339779
ClaimAmount,0.012214295
PublicEventsEncoded,0.011744313
SubmissionWeekday,0.011117641
SubmissionMonth,0.009660702
PolicyChangesEncoded,0.008242364
